                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1518,                 3.0506,                 1.2201,                0.00328,                 0.9279,                 0.4749,                0.16794,                0.83681,                 6.3589,                0.62234,                 0.0004,                 0.0004,                 0.0004
                      2,                0.95906,                 1.9579,                 1.0658,                0.70684,                0.45509,                  0.642,                0.26753,                0.94935,                 5.6512,                0.64978,             0.00054438,             0.00054438,             0.00054438
                      3,                 0.9003,                 1.7337,                  1.014,                 0.6386,                0.46411,                0.40378,                0.14039,                0.76667,                 4.0967,                0.61788,              0.0004165,              0.0004165,              0.0004165
