                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0693,                 2.0141,                 1.1108,                0.98822,                0.63656,                0.98213,                0.74243,                0.83899,                   2.65,                0.95774,                0.00064,                0.00064,                0.00064
                      2,                0.89408,                 1.1713,                0.98865,                0.93527,                0.91841,                0.96348,                0.73697,                0.86091,                 1.9441,                0.98019,               0.000871,               0.000871,               0.000871
                      3,                 0.8019,                 1.0319,                0.96245,                0.96815,                0.98059,                0.98987,                0.80228,                0.70529,                 1.4214,                0.90186,              0.0006664,              0.0006664,              0.0006664
