                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.83059,                0.66343,                  1.069,                0.23076,                0.22715,                0.22876,                0.14576,                0.38056,                0.65168,                 0.3712,              0.0013268,              0.0013268,              0.0013268
                     37,                0.79047,                 0.6093,                  1.054,                0.21543,                0.21402,                 0.2027,                0.09034,                0.34939,                0.61972,                0.36879,               0.001307,               0.001307,               0.001307
                     38,                0.80353,                0.61746,                 1.0669,                0.22099,                0.21637,                 0.2062,                0.07228,                0.37532,                0.91507,                0.38199,              0.0012872,              0.0012872,              0.0012872
                     39,                 0.7811,                0.61298,                 1.0966,                0.21895,                 0.2197,                0.21264,                0.09107,                0.36099,                0.77367,                0.37858,              0.0012674,              0.0012674,              0.0012674
                     40,                0.78035,                0.58863,                  1.063,                0.21503,                0.20962,                 0.1985,                0.08508,                0.33891,                0.75869,                0.36768,              0.0012476,              0.0012476,              0.0012476
                     41,                0.74555,                0.56581,                 1.0437,                0.21369,                0.21212,                0.19554,                0.08331,                0.36148,                0.75674,                0.37009,              0.0012278,              0.0012278,              0.0012278
                     42,                0.79746,                0.57973,                 1.0629,                0.23855,                0.23666,                0.23783,                0.13621,                0.35832,                0.72136,                0.36736,               0.001208,               0.001208,               0.001208
                     43,                0.80292,                0.61996,                  1.096,                0.21615,                0.21767,                 0.2026,                0.07436,                0.38836,                0.63987,                0.38399,              0.0011882,              0.0011882,              0.0011882
                     44,                0.72031,                0.56936,                 1.0392,                0.21755,                0.21584,                0.20463,                0.08088,                0.34605,                0.88209,                0.36847,              0.0011684,              0.0011684,              0.0011684
                     45,                0.77626,                0.55847,                 1.0653,                0.21749,                0.21591,                0.19192,                0.08753,                0.38695,                0.80146,                0.38331,              0.0011486,              0.0011486,              0.0011486
                     46,                0.74289,                0.56929,                 1.0701,                0.23074,                0.22917,                0.22133,                0.12489,                0.35484,                0.62234,                0.36395,              0.0011288,              0.0011288,              0.0011288
                     47,                0.74514,                0.53111,                 1.0353,                0.23473,                0.23286,                0.22732,                0.14582,                0.33425,                0.50366,                0.36531,               0.001109,               0.001109,               0.001109
                     48,                0.72843,                0.53056,                 1.0246,                0.23469,                0.23221,                0.22805,                0.16047,                 0.3158,                0.46932,                0.34961,              0.0010892,              0.0010892,              0.0010892
                     49,                0.75649,                0.56461,                 1.0536,                 0.2402,                0.24053,                0.24183,                 0.1621,                0.30633,                0.48872,                 0.3403,              0.0010694,              0.0010694,              0.0010694
                     50,                0.75607,                0.51099,                 1.0364,                0.21012,                0.21023,                0.19671,                0.11572,                0.38691,                0.51752,                0.38275,              0.0010496,              0.0010496,              0.0010496
                     51,                0.74829,                0.54046,                 1.0394,                0.23343,                0.24006,                0.23928,                0.14138,                0.31963,                 0.8623,                0.35388,              0.0010298,              0.0010298,              0.0010298
                     52,                0.70081,                0.55183,                  1.028,                0.23059,                0.22917,                0.22846,                0.11206,                 0.3239,                0.62227,                0.35338,                0.00101,                0.00101,                0.00101
                     53,                0.73212,                 0.4975,                 1.0403,                 0.2306,                0.23106,                0.23165,                 0.1257,                0.31577,                 1.2445,                 0.3497,              0.0009902,              0.0009902,              0.0009902
                     54,                0.68821,                0.50066,                 1.0322,                0.23661,                0.23485,                0.23442,                0.12209,                0.33953,                0.87264,                0.36151,              0.0009704,              0.0009704,              0.0009704
                     55,                0.68529,                0.53686,                  1.011,                0.22874,                0.22727,                0.22132,                0.12256,                0.35764,                 0.5521,                0.36289,              0.0009506,              0.0009506,              0.0009506
                     56,                0.67393,                0.55562,                0.99093,                0.24621,                0.24601,                0.24845,                0.16289,                0.33389,                0.49265,                0.34873,              0.0009308,              0.0009308,              0.0009308
                     57,                0.75132,                0.54766,                 1.0273,                 0.2142,                0.21533,                0.21217,                0.11848,                0.33946,                0.78852,                0.35493,               0.000911,               0.000911,               0.000911
                     58,                 0.7368,                0.54774,                  1.051,                0.22106,                 0.2197,                0.20556,                0.08068,                   0.29,                0.99623,                0.33817,              0.0008912,              0.0008912,              0.0008912
